11:53:02 | INFO | [default] τ=0.95 λ=1.0 | Epoch  34/100 | Loss: 0.3155 (sup:0.1256 unsup:0.1899) | Val: 60.67% | Test: 55.90% | Mask: 0.428
11:53:10 | INFO | [default] τ=0.95 λ=1.0 | Epoch  35/100 | Loss: 0.2942 (sup:0.0828 unsup:0.2114) | Val: 57.67% | Test: 55.27% | Mask: 0.460
11:53:19 | INFO | [default] τ=0.95 λ=1.0 | Epoch  36/100 | Loss: 0.3095 (sup:0.1451 unsup:0.1644) | Val: 61.33% | Test: 57.97% | Mask: 0.411
11:53:31 | INFO | [default] τ=0.95 λ=1.0 | Epoch  37/100 | Loss: 0.2308 (sup:0.0607 unsup:0.1701) | Val: 62.33% | Test: 57.40% | Mask: 0.449
11:53:44 | INFO | [default] τ=0.95 λ=1.0 | Epoch  38/100 | Loss: 0.2812 (sup:0.1066 unsup:0.1746) | Val: 63.33% | Test: 58.10% | Mask: 0.444
11:53:58 | INFO | [default] τ=0.95 λ=1.0 | Epoch  39/100 | Loss: 0.2405 (sup:0.0510 unsup:0.1895) | Val: 63.33% | Test: 58.73% | Mask: 0.448
11:54:12 | INFO | [default] τ=0.95 λ=1.0 | Epoch  40/100 | Loss: 0.2220 (sup:0.0620 unsup:0.1600) | Val: 59.67% | Test: 58.67% | Mask: 0.458
11:54:22 | INFO | [default] τ=0.95 λ=1.0 | Epoch  41/100 | Loss: 0.2273 (sup:0.0471 unsup:0.1802) | Val: 57.67% | Test: 56.90% | Mask: 0.471
11:54:28 | INFO | [default] τ=0.95 λ=1.0 | Epoch  42/100 | Loss: 0.2085 (sup:0.0392 unsup:0.1693) | Val: 58.67% | Test: 59.87% | Mask: 0.480
11:54:35 | INFO | [default] τ=0.95 λ=1.0 | Epoch  43/100 | Loss: 0.2185 (sup:0.0322 unsup:0.1863) | Val: 59.67% | Test: 58.80% | Mask: 0.494
11:54:42 | INFO | [default] τ=0.95 λ=1.0 | Epoch  44/100 | Loss: 0.2239 (sup:0.0443 unsup:0.1796) | Val: 62.67% | Test: 57.03% | Mask: 0.496
11:54:49 | INFO | [default] τ=0.95 λ=1.0 | Epoch  45/100 | Loss: 0.1977 (sup:0.0389 unsup:0.1588) | Val: 61.00% | Test: 58.73% | Mask: 0.476
11:54:56 | INFO | [default] τ=0.95 λ=1.0 | Epoch  46/100 | Loss: 0.1980 (sup:0.0243 unsup:0.1737) | Val: 60.67% | Test: 58.00% | Mask: 0.516
11:55:03 | INFO | [default] τ=0.95 λ=1.0 | Epoch  47/100 | Loss: 0.2125 (sup:0.0328 unsup:0.1797) | Val: 63.33% | Test: 57.93% | Mask: 0.533
11:55:10 | INFO | [default] τ=0.95 λ=1.0 | Epoch  48/100 | Loss: 0.2236 (sup:0.0511 unsup:0.1725) | Val: 60.67% | Test: 58.30% | Mask: 0.487
11:55:17 | INFO | [default] τ=0.95 λ=1.0 | Epoch  49/100 | Loss: 0.1878 (sup:0.0359 unsup:0.1519) | Val: 60.67% | Test: 59.60% | Mask: 0.479
11:55:25 | INFO | [default] τ=0.95 λ=1.0 | Epoch  50/100 | Loss: 0.2430 (sup:0.0689 unsup:0.1741) | Val: 62.00% | Test: 58.63% | Mask: 0.503
11:55:33 | INFO | [default] τ=0.95 λ=1.0 | Epoch  51/100 | Loss: 0.1806 (sup:0.0242 unsup:0.1564) | Val: 60.00% | Test: 57.77% | Mask: 0.501
11:55:41 | INFO | [default] τ=0.95 λ=1.0 | Epoch  52/100 | Loss: 0.1888 (sup:0.0149 unsup:0.1739) | Val: 58.67% | Test: 58.40% | Mask: 0.495
11:55:50 | INFO | [default] τ=0.95 λ=1.0 | Epoch  53/100 | Loss: 0.1629 (sup:0.0174 unsup:0.1454) | Val: 65.33% | Test: 61.20% | Mask: 0.497
11:56:03 | INFO | [default] τ=0.95 λ=1.0 | Epoch  54/100 | Loss: 0.1992 (sup:0.0304 unsup:0.1688) | Val: 61.67% | Test: 59.67% | Mask: 0.517
11:56:15 | INFO | [default] τ=0.95 λ=1.0 | Epoch  55/100 | Loss: 0.1955 (sup:0.0340 unsup:0.1615) | Val: 64.67% | Test: 57.60% | Mask: 0.537
11:56:27 | INFO | [default] τ=0.95 λ=1.0 | Epoch  56/100 | Loss: 0.1818 (sup:0.0240 unsup:0.1578) | Val: 62.67% | Test: 60.93% | Mask: 0.507
11:56:39 | INFO | [default] τ=0.95 λ=1.0 | Epoch  57/100 | Loss: 0.1729 (sup:0.0157 unsup:0.1571) | Val: 61.67% | Test: 58.70% | Mask: 0.545
11:56:50 | INFO | [default] τ=0.95 λ=1.0 | Epoch  58/100 | Loss: 0.2054 (sup:0.0399 unsup:0.1655) | Val: 61.67% | Test: 59.50% | Mask: 0.526
11:57:00 | INFO | [default] τ=0.95 λ=1.0 | Epoch  59/100 | Loss: 0.1897 (sup:0.0212 unsup:0.1685) | Val: 60.00% | Test: 59.57% | Mask: 0.525
11:57:11 | INFO | [default] τ=0.95 λ=1.0 | Epoch  60/100 | Loss: 0.1667 (sup:0.0169 unsup:0.1498) | Val: 63.33% | Test: 60.00% | Mask: 0.517
11:57:22 | INFO | [default] τ=0.95 λ=1.0 | Epoch  61/100 | Loss: 0.1735 (sup:0.0235 unsup:0.1500) | Val: 66.00% | Test: 60.50% | Mask: 0.528
11:57:32 | INFO | [default] τ=0.95 λ=1.0 | Epoch  62/100 | Loss: 0.1645 (sup:0.0208 unsup:0.1437) | Val: 63.00% | Test: 60.60% | Mask: 0.512
11:57:43 | INFO | [default] τ=0.95 λ=1.0 | Epoch  63/100 | Loss: 0.1739 (sup:0.0185 unsup:0.1554) | Val: 60.67% | Test: 58.63% | Mask: 0.515
11:57:54 | INFO | [default] τ=0.95 λ=1.0 | Epoch  64/100 | Loss: 0.1713 (sup:0.0136 unsup:0.1577) | Val: 60.67% | Test: 59.80% | Mask: 0.551
11:58:04 | INFO | [default] τ=0.95 λ=1.0 | Epoch  65/100 | Loss: 0.1546 (sup:0.0084 unsup:0.1462) | Val: 63.67% | Test: 59.77% | Mask: 0.525
